square_footage,bedrooms,bathrooms,neighborhood_rating,school_rating,property_age,lot_size,price
4438,5,4,4,5,36,26503,1127738
2067,2,1,3,1,21,13623,527859
3679,5,4,6,8,57,17627,1036926
2328,3,3,7,6,67,9487,694646
4002,4,3,4,3,43,21606,954922
4356,6,5,7,8,33,22531,1262574
1446,3,2,9,7,76,22808,687476
2868,5,4,2,1,41,9732,680420
3688,4,3,3,3,8,20995,932694
3014,5,4,5,3,6,24689,957075
2097,3,2,3,4,67,9283,512308
3235,3,2,8,8,18,8993,940146
1400,2,1,10,10,30,17210,737105
3163,4,2,8,7,34,24058,998579
2861,4,2,8,7,56,15889,859243
1041,1,1,9,7,60,9272,541805
2841,5,3,4,4,30,12257,773570
3624,5,4,5,4,52,16975,943840
4217,6,5,5,6,31,25812,1161423
3412,3,3,8,7,65,10621,926422
3745,5,3,7,6,58,11621,958804
2163,2,1,9,9,9,21226,892099
2939,5,3,8,8,1,25077,1055312
2190,2,1,2,4,65,17712,513566
3803,4,2,10,10,59,16272,1148995
2278,2,2,4,4,16,23082,721424
4299,5,4,6,4,15,23077,1167171
3356,5,3,2,3,15,10122,818393
1575,3,2,7,8,45,17815,681037
834,1,1,3,3,38,4202,274507
3053,5,3,3,4,30,11470,785817
3952,6,5,2,2,0,27320,1034727
2755,3,2,8,7,10,10852,878738
2385,4,2,6,8,3,20235,850677
4259,5,3,1,1,70,15018,835657
3873,4,2,1,1,25,10918,811641
1821,2,2,7,7,49,13649,676267
4261,6,4,8,7,11,12163,1206878
3413,4,2,5,3,74,25681,848746
1929,1,1,5,3,64,14596,475613
2300,4,3,4,2,46,11326,626272
1502,1,1,6,6,52,16793,534864
3249,4,2,6,7,70,19515,886941
3577,6,4,3,3,1,9517,918735
2379,4,3,9,10,23,17116,939890
961,1,1,7,6,3,7231,527483
1001,1,1,1,3,18,20931,384354
2781,2,2,7,8,25,10802,871439
1795,3,3,5,3,74,12255,554821
3117,3,3,5,5,39,21155,873079
1615,1,1,2,1,49,7166,340367
4142,5,3,4,2,42,24252,978458
1255,1,1,6,5,74,15707,474767
4333,6,5,10,10,66,22664,1301268
2075,1,1,7,7,11,7032,698650
1816,1,1,5,5,66,12555,535845
3143,3,3,9,10,26,21994,1049722
3567,6,5,3,3,53,14338,908195
1137,2,2,1,2,65,11562,320400
1678,2,1,4,3,48,8559,436678
1876,2,1,9,7,15,7996,764176
1591,2,2,4,6,1,5200,577970
3064,3,2,2,3,59,25153,719686
1563,1,1,10,8,53,8209,658780
3035,4,2,5,3,29,16591,800042
1179,1,1,3,5,37,21607,472576
1292,1,1,9,10,27,5357,628182
3912,6,4,4,2,24,14556,1003885
1980,2,1,6,4,9,12755,658176
2862,5,4,2,3,59,14708,724087
864,1,1,6,6,41,6295,412784
3368,4,2,3,1,39,24857,823232
2167,2,1,9,8,76,8008,695901
1952,3,3,2,3,41,16779,544017
2827,5,3,9,7,46,19226,962598
3495,5,4,5,7,36,9729,982861
2295,2,2,8,7,79,8135,704309
3934,4,3,2,1,21,19195,883890
1962,1,1,6,5,56,11051,547517
2322,2,1,3,2,26,15709,580357
3440,5,3,10,10,40,19372,1116762
1191,2,1,5,4,79,18131,408129
2498,3,2,8,8,33,16041,872188
1218,1,1,10,10,31,13957,691920
3136,3,2,1,1,65,16941,659531
1178,2,1,5,7,11,15639,553430
2596,4,3,3,1,39,14190,661815
4361,6,4,4,5,72,24162,1041047
3078,4,2,2,3,75,20853,689541
3865,5,4,9,10,72,23463,1165733
2888,5,3,3,3,9,9045,764305
3899,6,4,2,1,47,17666,888483
2982,5,4,10,10,19,20337,1140059
1000,1,1,9,8,38,9961,585801
2663,4,2,7,7,59,23060,844709
1579,3,2,6,7,65,14819,602989
3777,4,3,1,1,64,18123,783076
3904,4,2,5,5,50,17365,962961
3919,5,3,3,1,35,18271,891787
1302,2,2,1,1,23,20257,432707
3254,5,3,4,3,26,17619,872162
4445,5,4,2,1,1,16572,1002120
2551,3,3,2,3,30,22581,712557
1604,1,1,3,5,56,20255,495148
2946,3,3,8,6,77,15976,825159
3531,4,3,8,10,65,25515,1075317
2695,2,1,7,8,28,13590,825797
3573,6,5,6,4,14,19424,1052982
2370,4,3,9,7,11,8747,901158
1760,1,1,4,6,27,21322,624077
3460,4,2,1,1,23,22249,780007
2285,3,2,8,7,20,9349,792111
3490,4,3,7,7,9,9735,1006706
1828,2,1,7,9,77,12151,626453
4089,4,3,3,2,17,20365,955787
1302,2,2,4,4,13,14117,470753
3614,5,4,10,9,33,26628,1242062
1197,1,1,9,7,57,11741,567761
1670,2,2,6,6,75,19589,593270
3642,5,4,5,4,21,24163,1030492
1192,1,1,3,2,69,18441,356304
1006,2,1,9,8,35,16069,617290
1838,3,2,5,5,44,10614,582685
2681,2,2,5,6,35,8099,697565
4425,6,5,4,4,21,17050,1097184
3739,4,2,4,6,77,17849,857844
2284,2,2,1,1,79,23183,509778
4446,5,3,7,6,60,19426,1134899
1663,3,2,9,7,55,7949,658468
3590,4,2,3,3,32,17826,809675
4112,5,4,2,2,44,23767,954771
1363,2,2,3,2,35,17543,458341
1820,3,2,1,1,19,10137,463491
895,2,1,6,4,17,11723,491704
2723,4,2,7,9,37,14173,885894
2557,3,2,2,2,66,19270,581254
3332,5,3,8,6,22,26613,1056768
4278,6,5,6,4,15,27248,1201500
3078,3,2,4,5,58,16783,755018
3596,6,5,5,6,68,17560,979114
2478,3,2,8,6,67,23478,828982
4042,5,4,3,5,20,26661,1043908
1340,1,1,3,1,77,20257,363101
1859,2,2,4,3,77,19190,538025
3372,5,4,1,1,69,9686,694437
1983,3,3,9,10,11,10586,874703
2522,3,3,8,7,15,23239,927685
4114,5,3,8,10,13,21382,1242072
3957,6,5,10,9,60,16267,1216496
2619,3,2,6,6,70,16383,736184
3425,3,3,7,7,45,18344,1002830
3529,5,4,6,7,31,22620,1064613
3404,4,2,9,8,14,11688,1062584
2397,2,2,3,4,43,7339,602810
3860,4,2,3,2,16,23852,934169
3493,5,3,3,4,40,22290,916186
1595,3,2,10,10,53,7117,733153
1851,1,1,3,5,43,22090,547653
2443,2,2,9,10,4,18559,948467
4427,6,5,4,3,26,26226,1126087
2163,3,2,7,6,77,8989,622369
2781,2,2,9,9,78,22595,880336
2154,4,3,7,6,42,15773,775058
2463,3,2,9,7,30,10252,856638
2329,2,2,3,5,16,10317,634102
2838,4,2,4,5,53,25191,812307
4219,6,4,8,10,61,15201,1169194
2296,2,2,6,6,31,17420,731207
4102,5,4,5,6,39,25024,1123657
3037,3,3,4,5,12,19295,864739
4096,5,3,8,6,34,21403,1142810
2208,4,2,1,1,4,19985,618654
2200,4,3,9,8,72,11492,776363
2106,2,2,1,1,28,12234,490107
3480,4,3,8,6,69,21529,986184
3475,3,3,4,6,24,22465,961045
1772,1,1,9,10,21,11703,727758
2568,3,3,5,7,65,20359,800939
2082,2,1,3,1,44,14609,507475
4230,6,4,9,8,68,21482,1188251
1509,3,3,9,10,71,8062,670785
2279,2,2,4,6,0,16170,736797
2234,2,2,4,3,43,12104,575911
1448,3,2,8,8,74,16489,635243
1117,1,1,2,4,38,20413,403866
4096,6,5,9,10,53,13084,1232475
2057,3,2,6,6,74,11926,647456
1483,3,3,9,9,28,5620,713905
1463,1,1,8,9,53,22069,667104
2798,4,3,7,9,15,9394,900239
4245,5,3,1,1,19,15649,880908
2431,2,2,3,4,45,18480,626114
2295,2,2,2,3,66,15036,552276
4104,5,3,5,6,64,14031,1001456
1936,1,1,5,5,57,21971,605506
2653,2,2,5,4,52,15093,678550
2320,3,2,4,2,0,17836,691505
3289,3,2,5,7,65,14958,822772
1363,2,1,3,5,28,22118,520550
2091,3,2,1,1,69,15884,461134
4381,5,4,5,6,7,13444,1118840
4257,6,5,9,7,28,11503,1229303
4258,6,4,9,10,50,22992,1277094
3984,5,3,4,6,32,18414,1005737
2436,3,2,3,4,2,11583,694879
4496,6,4,1,1,59,17471,950119
3799,5,4,2,1,34,22759,924065
3952,6,5,8,7,68,24539,1165854
1498,2,1,1,1,75,13071,324474
2960,5,3,8,6,19,8927,931532
801,1,1,7,5,72,11290,419045
1441,3,3,8,10,38,15645,726319
3067,5,3,6,8,3,12042,984467
2389,4,3,9,7,18,18735,920710
1654,3,2,3,3,44,9687,507899
2559,3,3,10,10,42,23600,1002673
4096,4,2,4,4,12,11069,960727
3232,5,4,6,4,12,24049,998497
4274,6,4,8,10,59,28320,1272084
2461,2,1,5,4,56,9559,625101
1953,1,1,3,1,51,13148,451214
1876,1,1,6,7,52,15009,619822
2507,2,1,4,4,42,15627,664630
3577,6,5,9,7,71,12037,1039784
2495,4,3,3,1,71,8194,579608
2533,3,2,4,6,41,23994,771238
2239,3,2,7,9,25,18309,852694
3094,4,2,7,9,22,23652,998625
1635,1,1,4,5,42,22877,556720
4310,5,3,6,8,76,24614,1113646
1002,2,2,3,1,27,10524,383501
4055,4,3,6,8,8,10764,1096506
922,1,1,2,1,19,12256,302486
1200,1,1,8,10,55,8066,577195
1566,2,1,2,3,38,9409,450008
1093,1,1,7,6,50,9701,496631
3127,5,3,9,7,11,17459,1079415
3731,4,2,1,1,78,24660,771595
4481,5,4,8,8,54,14947,1211321
997,2,2,7,6,77,17129,509344
3829,4,3,6,6,10,17825,1066302
2730,2,1,6,5,25,14908,775372
4382,6,5,6,5,41,14445,1133090
3599,6,5,9,10,26,26154,1257752
2991,5,4,2,2,10,17506,798364
1408,3,3,1,2,37,9569,441825
4072,6,5,6,5,42,17226,1085009
1947,2,1,10,8,18,9896,796700
986,1,1,8,7,63,9601,512085
4197,4,3,3,4,5,22672,1037760
3311,3,3,10,10,45,17039,1052650
4220,5,4,1,1,41,12437,896017
2594,2,1,9,10,64,16151,851905
1459,2,1,1,1,71,20702,368059
3611,6,5,3,5,58,13746,911738
3802,5,3,8,6,51,13011,1059833
2755,2,1,3,1,46,14241,573699
3250,4,3,4,2,6,16295,865617
2169,4,2,8,8,10,17670,888826
2786,4,2,1,1,60,10483,571895
2334,3,3,6,5,67,23302,750645
946,1,1,1,1,24,19086,319819
4019,5,3,1,1,11,14989,886605
3711,4,3,8,10,25,17520,1101672
2534,3,2,4,3,11,23185,748748
2643,3,2,1,1,42,15388,573588
1288,1,1,10,10,50,10141,663941
3776,6,5,7,9,36,10725,1107454
2759,4,3,5,3,45,16142,758922
2463,2,1,5,4,52,21320,677381
3398,3,3,1,3,79,22052,715230
3185,5,3,10,10,12,9205,1094810
3719,6,5,6,4,53,21262,1040324
1440,3,2,9,10,56,9447,701610
2602,3,3,9,10,3,11019,980686
3320,4,3,8,10,74,25270,1041641
2769,4,3,5,4,48,9967,743250
2998,4,3,1,1,6,17178,730693
2238,3,2,9,10,10,15594,895601
4169,4,3,1,3,53,21968,882351
2434,4,3,8,7,44,9475,824388
1062,2,1,5,3,22,10054,435778
2587,3,3,3,3,27,11196,700554
2991,5,3,7,6,56,19973,913952
3193,3,3,7,5,25,15003,943985
1423,1,1,9,10,24,7997,686011
1816,1,1,7,5,53,11212,572301
4443,6,4,3,1,28,17940,1023219
1680,3,3,1,1,35,12979,434293
2849,5,4,8,8,13,23521,1053311
3744,6,5,3,1,77,22735,879488
2127,4,2,8,8,34,10827,775483
3101,3,2,8,10,29,23541,1047187
1252,1,1,5,5,16,7995,504233
3908,4,2,1,3,66,10522,774855
1983,3,3,10,10,79,21694,854151
3862,4,3,7,7,29,16721,1050881
2856,5,4,10,9,44,12945,1011117
4104,6,5,5,6,78,15963,1028322
3970,4,3,8,6,50,27658,1093143
2482,4,3,9,10,46,13815,909019
3663,5,4,7,5,52,21452,1025518
3055,5,3,7,5,63,15975,880514
1954,2,1,1,3,37,18026,535715
1203,1,1,4,2,63,7723,339251
2999,5,3,2,1,6,20210,793797
2901,3,2,2,2,21,19149,710641
3991,5,3,2,3,40,20372,931575
2496,2,1,4,4,73,21855,618066
1427,2,2,1,1,9,21402,496000
1386,2,2,4,6,56,11832,491197
2448,4,3,2,2,6,22400,714272
2243,3,3,5,5,49,9543,680215
2245,4,2,3,2,51,10918,556476
903,1,1,8,6,32,4208,494278
1053,2,2,4,6,0,12711,552582
4098,4,3,1,1,52,25957,872864
3983,6,4,1,1,59,10833,853907
3357,3,3,10,10,33,22493,1131179
2296,4,3,3,1,3,21747,718485
898,1,1,9,8,16,12006,621217
3000,5,4,7,7,3,8364,996781
2684,2,1,2,1,42,22734,622197
3761,5,4,9,10,3,16093,1232068
2719,3,3,10,8,0,24401,1075800
1677,1,1,2,3,70,19371,405977
1137,2,1,3,4,49,10742,359817
3669,4,3,10,10,72,13488,1078926
4034,6,4,2,1,60,23133,889462
1756,2,2,3,1,34,9649,465935
2504,4,3,6,8,7,19244,906035
960,1,1,9,8,23,20756,639145
2403,4,3,9,8,35,18959,915621
3648,6,5,7,9,49,23129,1124320
1197,2,2,3,5,42,5775,427247
2100,2,2,4,5,26,14354,626818
1615,1,1,6,8,31,6697,552691
2327,3,2,5,5,77,20093,665904
2719,3,3,2,1,17,24702,739585
2215,2,1,6,8,27,18436,755127
1958,2,2,3,3,28,9065,519553
2018,1,1,8,8,15,13928,756369
1200,2,2,2,2,46,20536,420254
1439,2,2,1,1,58,6046,320434
3904,5,4,9,10,30,22164,1227451
3535,4,2,3,3,3,12199,864035
1259,1,1,1,2,36,19550,346523
1754,2,1,7,8,16,8034,660860
1269,2,1,10,10,38,15597,691756
4246,6,5,5,4,47,14008,1081665
1845,3,3,5,5,45,16076,655310
3597,4,3,1,1,47,12749,745571
2493,3,3,9,9,38,22998,925180
2885,5,4,7,6,3,21927,1019047
3077,3,2,8,6,29,13265,930173
4236,6,5,9,7,29,17224,1256592
1362,1,1,6,7,21,21553,620037
3285,4,2,5,6,74,14934,830895
2599,2,1,6,5,65,10824,675563
4154,4,3,2,4,11,14183,971406
2874,5,3,4,2,35,13245,773380
1025,1,1,3,4,17,20029,445079
4148,5,3,7,5,52,21825,1078415
1597,2,1,9,8,70,21839,682747
4480,6,5,5,4,0,24342,1226747
3131,4,2,6,8,57,12287,860493
3726,5,3,10,10,5,19910,1224692
1759,2,1,2,1,69,19362,422145
2304,2,1,3,4,43,10783,586626
1252,1,1,3,1,71,13678,326716
3867,5,3,9,9,23,13177,1152291
1615,3,3,7,9,18,15955,764831
1458,1,1,8,8,17,5609,627505
4387,6,4,10,10,29,19121,1301150
1346,1,1,9,10,41,16472,693211
2015,2,2,6,6,32,19871,719716
3920,4,3,4,5,73,24094,944212
4383,6,4,1,1,11,24787,1040820
816,1,1,8,9,26,17000,606594
4043,5,3,7,9,38,15810,1135481
2043,2,2,2,1,8,7493,504160
3005,3,2,8,6,20,16042,913724
3324,3,2,5,5,75,23220,853960
1869,1,1,7,9,28,23532,722851
4244,6,5,4,3,32,17882,1060777
3365,4,2,5,6,61,25665,913172
2946,5,4,8,7,14,19478,1002033
2568,2,2,1,3,1,20062,677525
1860,2,2,1,3,51,6717,440401
3127,4,2,4,3,43,22644,790486
4220,5,3,3,4,53,16539,981067
3344,5,4,10,9,17,22197,1161937
1101,1,1,2,4,2,9692,414231
980,2,2,3,5,6,9576,454626
1406,2,1,1,1,42,20770,392792
3970,6,4,1,1,37,12188,841687
1499,2,2,6,4,36,22230,630907
1792,1,1,5,7,57,16332,584848
1939,1,1,8,8,32,16392,754122
990,1,1,2,1,58,12675,256013
3100,5,4,4,5,10,16270,908631
1780,2,2,8,7,67,14454,666912
3775,4,2,6,7,67,26248,1002895
2806,3,3,1,1,21,22735,708076
1984,2,1,4,2,65,8344,468911
4127,4,3,1,1,43,14632,869540
4194,5,4,2,1,5,21570,1000047
927,1,1,5,4,41,4428,326427
2865,4,2,8,9,24,21060,985313
2616,3,2,8,8,56,16181,863226
2558,3,2,3,2,54,12786,592780
3413,5,4,4,3,15,15393,901613
1369,1,1,10,8,13,17454,715514
2146,4,3,6,4,38,12409,690797
2695,2,1,10,10,27,15227,932693
3533,6,5,3,3,50,25653,956854
1425,2,2,2,4,48,19381,491549
4159,4,3,6,4,8,18816,1049566
3701,4,3,5,7,57,13511,931528
2486,4,3,10,10,44,24078,1001830
3809,6,5,5,7,21,23139,1128585
954,1,1,10,9,31,12628,658239
3337,5,4,5,7,68,13567,871224
2209,4,2,10,10,68,23145,856239
1584,3,2,5,6,41,13568,624873
3975,5,4,3,2,52,24556,962331
4264,6,4,7,9,58,20667,1177364
1045,2,2,6,7,73,21393,531788
4047,6,4,4,5,38,12138,1009388
3910,5,4,2,1,14,26622,959677
2300,3,2,9,10,70,24083,872541
2505,2,2,1,2,28,10402,566082
3606,4,3,4,5,2,19884,1012552
1337,1,1,1,1,9,19118,422091
2690,4,3,6,7,28,14164,883409
2641,4,2,4,2,78,25211,665051
1720,3,3,5,7,34,6510,619342
3255,5,3,5,7,5,10360,951183
1324,1,1,9,10,11,17038,698473
3675,5,3,1,1,37,12289,799922
2329,4,3,2,4,76,16753,608748
3750,4,2,6,7,18,25801,1063997
835,2,1,5,4,66,10864,362819
1484,2,1,7,5,7,10819,635003
819,1,1,3,3,7,20016,405498
3168,4,3,3,5,46,9014,790682
3359,4,2,10,10,3,9706,1094099
1199,1,1,2,1,50,5900,295689
3501,4,3,3,2,66,25200,828451
1771,1,1,10,10,44,23351,834902
2706,2,1,1,1,7,23279,638484
3318,3,3,5,7,15,22902,966110
1966,1,1,5,5,76,12586,506238
1915,1,1,7,8,66,8270,593148
4225,6,5,4,5,8,20684,1150866
1633,2,2,3,3,59,12633,483617
2623,2,2,1,3,77,20736,584027
3574,6,5,8,8,76,11742,1040729
2782,4,3,3,5,70,13081,684300
1653,3,2,2,1,14,14525,513051
850,1,1,4,4,70,10010,303320
1374,1,1,3,5,40,8287,402300
4061,6,5,1,1,21,24866,977352
1948,2,2,3,3,23,12274,528560
2997,4,2,2,4,43,17359,711124
3161,4,3,8,10,0,19744,1121159
3417,5,3,6,4,9,13745,939272
4213,5,4,9,9,79,10829,1114772
3152,5,4,8,9,71,21484,1014797
2515,4,2,10,10,55,11193,902573
1481,1,1,3,3,49,21433,457295
1637,1,1,5,7,11,19610,612049
1877,1,1,7,7,59,11224,626897
3850,5,4,5,5,25,24653,1061619
3291,3,2,8,9,77,14858,940746
3460,5,3,5,7,40,14659,937622
3840,4,2,1,1,35,16203,809252
3111,5,3,5,4,22,23215,939166
3924,5,3,4,2,42,22721,947200
2395,4,2,6,7,5,20209,871001
3851,6,5,3,3,68,24159,936516
4491,5,4,5,4,42,13046,1069835
804,1,1,2,2,24,8923,312548
1926,3,3,6,6,17,16418,748267
2019,1,1,6,8,61,6355,634218
1573,2,1,5,7,12,23032,671725
1676,2,2,6,8,42,11482,630330
1791,1,1,7,6,77,13001,610768
3731,5,3,5,5,27,11504,986175
4221,5,4,1,1,17,15040,903806
846,2,1,8,9,58,13906,532667
3714,6,4,4,6,59,9546,910757
3670,5,3,9,10,62,10049,1077429
3783,4,2,10,10,56,25423,1169132
3503,4,2,6,6,50,21607,956936
1068,1,1,1,1,55,7386,215181
1169,2,1,3,2,26,12399,393773
1435,2,1,3,5,31,13479,483905
1929,3,3,10,10,8,8461,847326
2493,2,2,4,2,67,19032,605532
2482,4,3,6,7,45,24449,872391
1456,2,1,7,7,66,12769,539933
919,1,1,10,10,25,15458,684468
1630,2,2,4,3,7,13437,582552
2610,3,3,6,7,5,19046,884868
4475,6,5,1,3,79,24840,977216
1881,2,1,8,8,23,22654,793397
2774,4,3,7,9,47,21378,920673
2169,2,2,9,9,44,15822,807390
1540,3,2,3,5,12,10575,550516
4345,5,4,2,3,68,21957,927581
916,2,1,1,1,24,11230,275800
2653,3,2,3,4,19,14049,704960
3638,6,4,5,3,65,14447,917570
1950,3,3,2,1,73,21905,500501
4264,5,4,3,4,44,27236,1046815
2731,3,2,4,2,46,20466,683778
1812,3,3,7,7,62,16586,710717
2464,3,3,3,3,75,17703,623916
1881,3,3,9,10,76,9319,749373
1433,3,3,8,7,54,8453,643538
1312,1,1,4,4,74,21159,437766
3649,6,5,1,1,18,10252,844353
1919,2,1,1,1,34,19632,491954
1941,3,2,1,3,52,6569,453348
1359,1,1,1,2,25,13219,369959
4472,6,4,8,10,13,26082,1351580
1287,2,2,3,1,44,14268,407940
4108,6,5,6,6,43,13343,1095778
1696,1,1,3,1,64,18152,430851
4143,5,3,5,3,50,21845,996637
2012,3,2,7,6,42,20820,729958
1503,1,1,2,2,22,8401,407843
2270,4,3,6,4,55,7385,672746
1380,1,1,6,7,18,5924,564190
3637,6,5,3,1,75,22228,880323
3708,6,4,6,7,54,15320,1018510
3094,5,3,10,9,59,21919,1063821
3947,6,4,10,8,58,10248,1164247
953,1,1,5,7,32,6723,450269
2479,2,1,2,1,18,10790,573783
4306,6,5,9,10,27,23079,1333218
1796,1,1,8,7,51,13849,667040
3957,4,3,3,1,48,23021,887944
3544,5,4,8,8,36,21546,1115408
4156,4,2,9,9,25,21025,1239567
2043,1,1,3,4,39,8667,519368
1892,2,2,3,4,79,15366,490819
3918,5,4,2,2,37,18254,902120
1808,2,1,8,9,76,20035,691304
2941,5,3,10,9,53,19696,1042898
2573,4,3,1,3,21,8182,637546
1757,2,1,8,10,15,15538,759012
3859,5,4,7,6,27,20650,1101845
1252,1,1,7,9,34,11939,593775
2027,3,2,3,1,59,7602,479195
3759,6,4,1,1,44,14583,837589
3065,3,2,4,5,45,11537,773697
3321,3,2,9,8,71,9281,958965
3279,4,2,5,5,54,8730,782569
3188,5,4,1,2,25,14042,781212
1350,2,2,5,5,24,9054,533244
2435,4,2,8,9,64,16979,811476
2112,3,2,8,10,5,9110,858592
4125,4,2,5,4,22,12414,989137
2557,3,3,9,7,63,11059,841342
1156,1,1,1,2,42,14713,298473
2870,3,2,4,5,22,15486,781623
2585,3,3,3,3,29,19145,698787
3369,3,3,2,4,76,16492,771256
2581,2,1,8,8,17,22758,912608
3971,6,4,7,7,78,15127,1044070
3649,4,2,9,10,20,10391,1071255
4051,5,4,2,1,56,13982,866470
4094,5,3,4,4,22,20874,1046856
3609,4,2,6,6,44,19989,939269
3289,5,3,3,4,43,19258,831163
2431,4,3,8,10,46,9647,847301
3616,4,3,3,2,39,24031,892059
1815,1,1,2,1,50,21910,451252
2148,3,2,3,1,41,12835,544955
1315,1,1,6,8,6,22588,658809
3887,6,5,2,3,49,25790,960325
3639,4,3,8,9,47,24008,1078734
1135,1,1,1,3,5,14835,412470
2582,3,3,7,8,8,15224,923357
3105,4,3,2,1,56,12200,680443
1296,1,1,10,8,30,22165,719007
1695,2,2,6,5,20,9485,635590
3007,3,3,2,4,39,22563,772714
4346,5,3,2,2,44,20671,947968
1651,1,1,10,10,76,10710,672790
2487,2,1,8,7,48,20911,831502
2731,3,3,2,1,19,10295,653424
3537,6,4,7,8,16,14359,1083304
3227,3,3,3,2,27,18043,795970
2368,4,3,8,7,40,21444,887263
1756,1,1,7,7,65,19628,637083
3538,4,3,8,9,24,16721,1091597
4298,6,4,7,6,57,22614,1144869
2436,3,2,6,5,40,17761,765756
2091,1,1,7,8,5,10959,741371
4448,5,4,5,7,74,26890,1114973
2240,2,1,7,8,37,9215,733007
1991,3,3,1,1,5,19593,577310
1866,2,1,1,3,44,12100,420785
4427,6,4,9,7,74,28059,1228335
1084,2,1,5,6,13,4330,477025
3244,4,3,5,5,65,16265,849099
811,2,2,3,5,39,18471,412543
2430,3,3,5,6,2,10395,779865
4173,4,2,3,2,23,23749,946945
4124,5,3,9,10,18,24764,1290150
3346,3,3,9,7,17,16651,1070414
1553,3,3,6,7,63,9039,617784
2882,5,4,1,3,34,11149,726519
3574,4,3,7,9,61,10070,987887
3696,6,5,7,8,0,19759,1157116
889,1,1,10,10,24,17515,672582
1575,1,1,10,9,44,5714,661378
3452,5,4,4,5,48,19693,937471
3817,4,2,8,7,15,12134,1027656
2425,3,2,6,5,18,13731,768299
3869,5,4,4,4,22,13374,976003
1217,2,2,4,5,24,4657,481611
914,1,1,2,4,15,10125,383444
1416,1,1,2,1,53,19727,367602
4067,5,4,4,4,72,10484,906214
1625,1,1,5,6,0,9982,597117
4372,5,3,8,9,41,11761,1199111
2449,3,2,6,4,18,22127,796887
2316,4,3,4,2,33,13802,647722
3946,5,3,7,6,79,23195,1030286
1212,1,1,8,6,54,10631,531994
4247,5,3,2,1,17,22810,979203
4291,6,4,7,9,33,13001,1178593
1528,3,2,2,1,44,11296,410293
4148,6,5,2,1,5,12189,965921
3868,4,3,8,10,20,23489,1204762
3608,4,2,2,1,69,14538,712868
1475,3,2,9,8,47,16182,704688
4265,6,4,1,1,38,28039,975546
2692,2,2,9,10,30,10501,882215
3304,3,2,1,1,9,12769,707993
3767,6,5,10,9,29,25057,1290257
3039,4,2,10,10,17,12120,1022810
3586,6,4,2,1,59,13605,787970
1922,2,1,6,4,72,19860,569611
2371,3,2,6,7,14,9400,770290
1777,2,1,1,1,3,16464,512652
1808,1,1,7,7,62,8560,584009
2943,5,4,8,10,39,15096,1014431
2487,4,2,2,1,8,15761,642923
3510,5,4,8,10,8,11006,1123605
4061,4,2,9,7,25,21064,1175405
836,1,1,6,7,3,21130,568693
4240,6,5,5,6,15,22641,1213681
2348,2,1,9,9,14,9703,858607
3126,3,3,9,10,51,9221,967210
3064,4,3,1,1,68,16900,650513
3714,4,2,3,3,4,12252,906823
1672,2,2,9,8,19,6555,722134
2621,4,3,2,3,78,7471,599638
2096,1,1,4,4,17,21966,673773
2909,5,4,4,2,1,22163,877601
1395,2,1,2,4,12,7975,446404
2703,2,1,3,5,3,22417,777735
1528,1,1,3,1,41,21941,463917
2165,4,2,1,1,73,6378,448547
1196,1,1,6,8,60,19565,522222
1498,2,1,8,8,7,21766,730303
3890,5,3,3,5,66,10749,865815
3024,3,3,5,3,62,22601,816821
2435,4,2,1,2,8,12690,603169
